Tipo de produto florestal;Tipo de Floresta;Tipo de Uso;Tipo de produto extrativo (com código);Tipo de produto extrativo;Unidade de Medida PEVS;Unidade de Medida transformada;Ano_PEVS;Quantidade PEVS;Quantidade transformada;Valor (mil reais)
PFNM;Floresta Natural;Alimentícios;1.5 - Mangaba (fruto) (Toneladas);Mangaba;Toneladas;Toneladas;1994;305;305;104
PFNM;Floresta Natural;Alimentícios;1.5 - Mangaba (fruto) (Toneladas);Mangaba;Toneladas;Toneladas;1995;310;310;117
PFNM;Floresta Natural;Alimentícios;1.5 - Mangaba (fruto) (Toneladas);Mangaba;Toneladas;Toneladas;1996;1364;1364;768
PFNM;Floresta Natural;Alimentícios;1.5 - Mangaba (fruto) (Toneladas);Mangaba;Toneladas;Toneladas;1997;1279;1279;389
PFNM;Floresta Natural;Alimentícios;1.5 - Mangaba (fruto) (Toneladas);Mangaba;Toneladas;Toneladas;1998;1231;1231;410
PFNM;Floresta Natural;Alimentícios;1.5 - Mangaba (fruto) (Toneladas);Mangaba;Toneladas;Toneladas;1999;1212;1212;466
PFNM;Floresta Natural;Alimentícios;1.5 - Mangaba (fruto) (Toneladas);Mangaba;Toneladas;Toneladas;2000;1222;1222;485
PFNM;Floresta Natural;Alimentícios;1.5 - Mangaba (fruto) (Toneladas);Mangaba;Toneladas;Toneladas;2001;1181;1181;520
PFNM;Floresta Natural;Alimentícios;1.5 - Mangaba (fruto) (Toneladas);Mangaba;Toneladas;Toneladas;2002;1147;1147;615
PFNM;Floresta Natural;Alimentícios;1.5 - Mangaba (fruto) (Toneladas);Mangaba;Toneladas;Toneladas;2003;999;999;763
PFNM;Floresta Natural;Alimentícios;1.5 - Mangaba (fruto) (Toneladas);Mangaba;Toneladas;Toneladas;2004;790;790;853
PFNM;Floresta Natural;Alimentícios;1.5 - Mangaba (fruto) (Toneladas);Mangaba;Toneladas;Toneladas;2005;811;811;1028
PFNM;Floresta Natural;Alimentícios;1.5 - Mangaba (fruto) (Toneladas);Mangaba;Toneladas;Toneladas;2006;824;824;1067
PFNM;Floresta Natural;Alimentícios;1.5 - Mangaba (fruto) (Toneladas);Mangaba;Toneladas;Toneladas;2007;773;773;1306
PFNM;Floresta Natural;Alimentícios;1.5 - Mangaba (fruto) (Toneladas);Mangaba;Toneladas;Toneladas;2008;711;711;1096
PFNM;Floresta Natural;Alimentícios;1.5 - Mangaba (fruto) (Toneladas);Mangaba;Toneladas;Toneladas;2009;699;699;1090
PFNM;Floresta Natural;Alimentícios;1.5 - Mangaba (fruto) (Toneladas);Mangaba;Toneladas;Toneladas;2010;722;722;1213
